# time(ps) Num_water
10 2
20 9
30 18
40 20
50 22
60 21
70 21
80 20
90 20
100 20
110 20
120 21
130 21
140 21
150 19
160 19
170 20
180 21
190 20
200 21
210 20
220 20
230 20
240 21
250 21
260 20
270 21
280 20
290 20
300 21
310 21
320 21
330 21
340 20
350 20
360 20
370 21
380 20
390 21
400 19
410 20
420 20
430 20
440 20
450 21
460 21
470 20
480 21
490 21
500 20
510 20
520 20
530 21
540 22
550 20
560 20
570 20
580 20
590 21
600 22
610 22
620 21
630 20
640 18
650 21
660 21
670 20
680 21
690 20
700 21
710 20
720 20
730 21
740 20
750 22
760 20
770 20
780 20
790 21
800 18
810 21
820 20
830 22
840 19
850 20
860 21
870 20
880 20
890 20
900 21
910 20
920 21
930 19
940 22
950 21
960 22
970 20
980 21
990 21
1000 19
