# step Epot T p V 
0 -6353.1391 0.0 -175.0144 23823.124 
5000 -5289.0804 281.6861 -366.8702 23110.1279 
10000 -5173.988 296.9838 350.4613 23143.4543 
15000 -5186.4021 296.8107 -412.4368 23010.9914 
20000 -5216.7379 299.1027 -182.522 22565.0196 
25000 -5208.2365 311.7442 -277.327 22829.6395 
30000 -5258.9271 304.4526 -254.2838 22409.2647 
35000 -5228.9129 307.1768 -430.1644 22680.8982 
40000 -5236.3341 299.5411 -312.495 22596.188 
45000 -5238.5099 318.6379 -858.5259 22981.2024 
50000 -5179.2028 295.6526 -900.1146 22735.1702 
55000 -5257.7463 307.0853 -645.5887 22436.3897 
60000 -5192.1376 287.772 -249.7193 22747.6595 
65000 -5171.6307 317.2696 198.3648 22646.7589 
70000 -5181.0982 297.5443 -327.6625 22469.7539 
75000 -5241.0109 299.814 191.8522 22736.8271 
80000 -5164.1743 304.1326 -585.4154 22840.6956 
85000 -5207.9985 294.6564 -998.6497 23190.8673 
90000 -5229.8525 299.2342 -401.4983 22483.9912 
95000 -5147.9499 294.8396 -379.6681 22678.1784 
100000 -5230.1015 289.6042 -34.5893 22357.1415 
105000 -5232.3045 306.4751 -568.6521 22814.6426 
110000 -5208.7283 298.727 118.3509 22651.3067 
115000 -5201.2559 295.7513 -213.5716 22617.6742 
120000 -5267.9982 293.4969 -186.6674 22513.2042 
125000 -5219.5747 293.7977 124.8845 22478.1178 
130000 -5209.3081 303.701 -229.8672 22656.5566 
135000 -5128.6533 298.5537 -1206.2441 22963.206 
140000 -5196.771 304.3436 287.1091 22362.1456 
145000 -5215.0173 300.8331 54.3682 22622.4448 
150000 -5163.1084 303.7703 -734.2217 23009.8243 
155000 -5206.825 300.1881 -193.7641 22906.1678 
160000 -5180.1823 288.6583 -130.306 22890.1031 
165000 -5222.5029 301.5997 -522.6782 22525.6178 
170000 -5283.528 296.0653 255.526 22232.5208 
175000 -5239.8512 299.8104 -586.8304 22816.8931 
180000 -5138.3497 303.5561 626.0214 22497.8158 
185000 -5151.8572 311.7917 408.4616 22540.4705 
190000 -5163.6562 299.7796 322.0948 22588.1257 
195000 -5206.0572 317.9478 248.5386 22322.3121 
200000 -5196.6699 301.8169 -769.2675 22622.1154 
205000 -5181.585 302.0884 -91.8323 22770.3307 
210000 -5197.6095 285.3957 -185.4127 22670.8138 
215000 -5222.1553 298.7143 -52.6735 22681.43 
220000 -5157.5856 302.7847 1271.999 22631.8592 
225000 -5218.0062 295.9056 -295.3137 22807.0402 
230000 -5222.0936 308.6566 -217.7955 22970.7276 
235000 -5238.1522 299.8192 -354.7759 22743.7944 
240000 -5210.0488 298.438 -429.1641 22634.8881 
245000 -5165.418 309.1915 -268.206 22769.4353 
250000 -5158.1187 296.3601 -988.0847 23038.6804 
255000 -5243.4377 300.2141 443.1668 22431.8604 
260000 -5183.3129 306.1455 171.6013 22762.8526 
265000 -5202.2309 305.6719 20.2762 22220.297 
270000 -5210.2861 290.153 -274.669 22645.088 
275000 -5204.1252 295.9183 -327.922 22819.828 
280000 -5235.8398 294.6782 -386.8474 22404.7424 
285000 -5215.8541 291.9978 -110.2256 22558.1823 
290000 -5161.1213 298.553 97.0629 22911.8123 
295000 -5272.0804 303.5319 345.8532 22683.8308 
300000 -5287.1253 298.5856 30.8176 22423.3401 
305000 -5211.4834 311.7803 84.7277 22637.9692 
310000 -5201.719 305.5848 20.9019 22587.4653 
315000 -5189.7193 295.0619 -163.2717 22709.0683 
320000 -5139.0208 301.2625 -577.9041 23045.9448 
325000 -5191.8191 313.0517 -729.7688 22740.7032 
330000 -5205.9831 316.4198 425.4569 22622.1151 
335000 -5193.4863 306.8978 -398.0703 22452.6316 
340000 -5212.466 296.2173 -442.8623 22677.7965 
345000 -5201.6086 308.2549 489.0858 22527.2681 
350000 -5213.1518 300.4475 -294.025 22880.7213 
355000 -5180.9159 300.0207 88.8402 22615.3342 
360000 -5234.2496 296.8824 -348.6598 22725.5751 
365000 -5203.7959 303.788 -442.2784 22637.4141 
370000 -5187.0119 288.0322 -640.522 22637.3517 
375000 -5174.7727 296.1549 -472.9619 22581.4958 
380000 -5226.6916 298.2659 245.3845 22546.3858 
385000 -5255.043 288.8119 -25.8689 22534.2376 
390000 -5161.3704 301.5016 -110.4957 22802.1422 
395000 -5295.5212 304.6724 -266.5711 22509.4051 
400000 -5232.1113 298.349 13.986 22468.1607 
405000 -5184.1422 290.1 -1047.0792 22760.9086 
410000 -5259.7976 303.2057 328.7269 22436.1138 
415000 -5199.5144 299.4367 -33.1025 22646.338 
420000 -5158.8997 301.8202 -91.0077 22826.8937 
425000 -5198.7532 281.4598 -498.4176 22844.0913 
430000 -5238.4695 299.6997 -105.967 22789.1726 
435000 -5237.7312 304.3541 380.7764 22898.0344 
440000 -5201.0535 297.6132 -320.1902 22625.863 
445000 -5186.385 293.8892 84.9492 22749.0085 
450000 -5155.3277 297.0132 -145.6275 22833.5063 
455000 -5164.6868 294.0486 -393.2787 22738.7562 
460000 -5161.6578 280.7168 -286.1971 22880.0998 
465000 -5201.0942 299.8045 -530.0536 22781.7224 
470000 -5197.7248 308.0715 260.2659 22604.9674 
475000 -5208.9529 300.7601 -561.4581 22859.4977 
480000 -5219.2149 294.7554 -486.5455 22746.561 
485000 -5218.2187 292.6875 23.0709 22807.3223 
490000 -5168.5238 296.0776 -249.7458 22661.3089 
495000 -5169.0465 304.9563 -438.7324 22842.8934 
500000 -5211.8943 299.6299 -657.5825 22769.0011 
