ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -7370.0822      1016.9431         0.0000         0.0000         0.0000          -6353.1391         0.0000     -6353.1391     -6353.1202         0.0000           -175.0144      -157.2703     23823.1240      -175.0144      -157.2703
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5774.3732       485.2928         0.0000         0.0000       886.6662          -4402.4142       281.6861     -5289.0804     -4399.6304       214.0887           -366.8702      -330.5055     23110.1279      -208.4911      -208.5301
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5641.4162       467.4282         0.0000         0.0000       934.8192          -4239.1689       296.9838     -5173.9880     -4237.5213       291.1346            350.4613       363.5217     23143.4543      -173.3399      -173.3670
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5585.0381       398.6361         0.0000         0.0000       934.2740          -4252.1280       296.8107     -5186.4021     -4249.7682       297.8076           -412.4368      -413.2714     23010.9914      -171.8931      -171.8569
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5588.6696       371.9317         0.0000         0.0000       941.4886          -4275.2493       299.1027     -5216.7379     -4272.9391       294.9663           -182.5220      -174.4682     22565.0196      -206.6525      -206.5978
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5607.5570       399.3205         0.0000         0.0000       981.2805          -4226.9560       311.7442     -5208.2365     -4225.4791       300.1388           -277.3270      -263.4780     22829.6395      -197.8378      -197.7390
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5654.3625       395.4354         0.0000         0.0000       958.3286          -4300.5985       304.4526     -5258.9271     -4297.8563       300.1333           -254.2838      -232.4110     22409.2647      -257.8145      -257.6834
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5657.7311       428.8182         0.0000         0.0000       966.9035          -4262.0093       307.1768     -5228.9129     -4259.2200       294.4685           -430.1644      -408.5770     22680.8982      -301.0099      -301.0966
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5605.2532       368.9191         0.0000         0.0000       942.8688          -4293.4654       299.5411     -5236.3341     -4291.0696       295.8314           -312.4950      -290.4587     22596.1880      -177.5433      -177.5346
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5614.8538       376.3439         0.0000         0.0000      1002.9797          -4235.5302       318.6379     -5238.5099     -4232.9457       300.1429           -858.5259      -835.9513     22981.2024      -256.2807      -256.2932
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5533.0557       353.8530         0.0000         0.0000       930.6288          -4248.5739       295.6526     -5179.2028     -4245.6874       300.8914           -900.1146      -884.8524     22735.1702      -244.6993      -244.5822
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5592.1165       334.3702         0.0000         0.0000       966.6155          -4291.1308       307.0853     -5257.7463     -4288.6067       298.8195           -645.5887      -612.1288     22436.3897      -172.6352      -172.7013
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5563.4130       371.2754         0.0000         0.0000       905.8230          -4286.3146       287.7720     -5192.1376     -4283.7005       297.2424           -249.7193      -227.7685     22747.6595      -259.4036      -259.2663
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5541.0938       369.4631         0.0000         0.0000       998.6727          -4172.9579       317.2696     -5171.6307     -4169.1976       301.9713            198.3648       215.6559     22646.7589      -135.5412      -135.4172
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5544.9922       363.8940         0.0000         0.0000       936.5832          -4244.5150       297.5443     -5181.0982     -4241.9596       306.4543           -327.6625      -313.8099     22469.7539      -231.8392      -231.8178
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5658.0458       417.0349         0.0000         0.0000       943.7277          -4297.2832       299.8140     -5241.0109     -4296.4887       298.0385            191.8522       201.4779     22736.8271      -289.9782      -289.9437
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5529.8865       365.7122         0.0000         0.0000       957.3213          -4206.8531       304.1326     -5164.1743     -4204.4533       301.7604           -585.4154      -563.7987     22840.6956      -256.0301      -255.8777
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5580.7128       372.7143         0.0000         0.0000       927.4930          -4280.5056       294.6564     -5207.9985     -4277.3165       303.4504           -998.6497      -988.7389     23190.8673      -241.4697      -241.5914
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5596.0158       366.1633         0.0000         0.0000       941.9026          -4287.9499       299.2342     -5229.8525     -4286.9768       295.8384           -401.4983      -380.2387     22483.9912      -265.7107      -265.6658
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5508.8347       360.8848         0.0000         0.0000       928.0698          -4219.8801       294.8396     -5147.9499     -4217.3125       302.4267           -379.6681      -368.3434     22678.1784      -203.7590      -203.7849
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5633.9584       403.8568         0.0000         0.0000       911.5901          -4318.5114       289.6042     -5230.1015     -4315.1293       301.8308            -34.5893       -12.7392     22357.1415      -225.4682      -225.4442
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5601.7409       369.4363         0.0000         0.0000       964.6949          -4267.6097       306.4751     -5232.3045     -4263.9536       299.8674           -568.6521      -540.3494     22814.6426      -220.3762      -220.4976
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5633.8730       425.1447         0.0000         0.0000       940.3061          -4268.4222       298.7270     -5208.7283     -4265.5894       297.8690            118.3509       150.3104     22651.3067      -253.9897      -254.0664
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5596.6983       395.4425         0.0000         0.0000       930.9394          -4270.3164       295.7513     -5201.2559     -4267.6364       296.8486           -213.5716      -194.4506     22617.6742      -212.9956      -212.8861
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5652.6341       384.6359         0.0000         0.0000       923.8434          -4344.1548       293.4969     -5267.9982     -4341.8043       295.2237           -186.6674      -174.9373     22513.2042      -179.1349      -179.1850
