# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 1
50 0 1
60 0 2
70 0 2
80 0 2
90 0 2
100 0 2
110 0 2
120 0 2
130 0 2
140 0 2
150 0 2
160 0 2
170 0 2
180 0 2
190 0 2
200 0 2
210 0 2
220 0 2
230 0 3
240 0 3
250 0 3
260 0 3
270 0 3
280 0 3
290 0 3
300 0 3
310 1 3
320 1 4
330 1 4
340 2 4
350 2 4
360 2 4
370 2 4
380 3 4
390 3 4
400 5 4
410 5 4
420 5 4
430 5 4
440 5 4
450 5 4
460 5 4
470 5 4
480 5 4
490 6 4
500 7 4
510 7 4
520 7 4
530 7 5
540 7 5
550 7 5
560 7 5
570 7 5
580 7 5
590 7 5
600 8 5
610 8 5
620 9 5
630 10 5
640 10 5
650 10 5
660 10 5
670 11 5
680 11 5
690 11 5
700 11 5
710 11 5
720 12 5
730 12 5
740 12 5
750 12 5
760 12 5
770 12 5
780 12 5
790 12 5
800 12 5
810 13 5
820 13 5
830 13 6
840 13 8
850 13 8
860 13 8
870 13 8
880 13 8
890 13 8
900 13 8
910 13 8
920 13 8
930 13 8
940 13 9
950 13 9
960 13 9
970 13 9
980 13 9
990 13 9
1000 13 9
