# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 1
11 0 1
12 0 1
13 0 3
14 0 6
15 0 8
16 0 12
17 0 13
18 0 16
19 0 18
20 0 20
21 0 23
22 0 27
23 0 29
24 0 31
25 0 34
26 0 37
27 0 39
28 0 41
29 0 45
30 0 48
31 0 52
32 0 56
33 0 58
34 0 62
35 0 64
36 0 66
37 0 68
38 0 71
39 0 73
40 0 75
41 0 76
42 0 78
43 0 80
44 0 81
45 0 84
46 0 86
47 0 88
48 0 90
49 0 92
50 0 93
51 0 95
52 0 96
53 0 99
54 0 100
55 0 102
56 0 104
57 0 106
58 0 109
59 0 112
60 0 115
61 0 119
62 0 120
63 0 121
64 0 125
65 0 126
66 0 128
67 0 129
68 0 131
69 0 134
70 0 135
71 0 139
72 0 141
73 0 143
74 0 148
75 0 150
76 0 153
77 0 155
78 0 158
79 0 160
80 0 163
81 0 165
82 0 167
83 0 169
84 0 173
85 0 176
86 0 177
87 0 180
88 0 183
89 0 185
90 0 187
91 0 190
92 0 192
93 0 194
94 0 198
95 0 202
96 0 205
97 0 207
98 0 211
99 0 213
100 0 216
101 0 218
102 0 222
103 0 223
104 0 225
105 0 226
106 0 229
107 0 230
108 0 234
109 0 234
110 0 238
111 0 242
112 0 242
113 0 244
114 0 247
115 0 248
116 0 251
117 0 253
118 0 255
119 0 257
120 0 259
121 0 260
122 0 262
123 0 264
124 0 266
125 0 268
126 0 273
127 0 274
128 0 276
129 0 278
130 0 279
131 0 282
132 0 283
133 0 287
134 0 288
135 0 290
136 0 292
137 0 295
138 0 295
139 0 295
140 0 298
141 0 300
142 0 302
143 0 305
144 0 307
145 0 308
146 0 311
147 0 312
148 0 315
149 0 318
150 0 319
151 0 321
152 0 324
153 0 328
154 0 330
155 0 334
156 0 335
157 0 338
158 0 340
159 0 342
160 0 345
161 0 345
162 0 348
163 0 349
164 0 352
165 0 353
166 0 356
167 0 357
168 0 358
169 0 359
170 0 359
171 0 360
172 0 363
173 0 364
174 0 368
175 0 371
176 0 373
177 0 375
178 0 377
179 0 378
180 0 380
181 0 385
182 0 388
183 0 389
184 0 391
185 0 393
186 0 395
187 0 398
188 0 402
189 0 405
190 0 405
191 0 407
192 0 409
193 0 411
194 0 412
195 0 416
196 0 418
197 0 421
198 0 425
199 0 427
200 0 429
