# frame +z -z 
1000 0 0
2000 0 0
3000 4 5
4000 9 9
5000 18 11
6000 22 16
7000 28 19
8000 34 23
9000 38 29
10000 43 35
11000 45 42
12000 51 45
13000 55 50
14000 61 57
15000 64 62
16000 72 68
17000 76 71
18000 80 78
19000 87 82
20000 90 85
21000 96 90
22000 102 95
23000 104 99
24000 110 102
25000 115 107
26000 119 111
27000 123 114
28000 128 121
29000 130 126
30000 138 129
31000 141 135
32000 146 140
33000 152 146
34000 156 150
35000 161 155
36000 166 161
37000 175 162
38000 177 164
39000 182 169
40000 186 175
41000 188 179
42000 192 190
43000 198 196
44000 205 199
45000 206 204
46000 209 209
47000 215 214
48000 219 220
49000 222 224
50000 226 227
51000 231 233
52000 234 240
53000 242 243
54000 247 249
55000 250 253
56000 256 256
57000 262 262
58000 268 268
59000 270 275
60000 274 284
61000 280 291
62000 285 296
63000 293 299
64000 298 306
65000 305 308
66000 310 312
67000 314 317
68000 319 322
69000 320 329
70000 323 334
71000 327 342
72000 332 349
73000 339 358
74000 342 363
75000 346 370
76000 352 372
77000 355 377
78000 360 382
79000 367 386
80000 369 390
81000 375 396
82000 382 398
83000 385 403
84000 392 409
85000 398 410
86000 405 414
87000 410 418
88000 415 421
89000 420 431
90000 425 438
91000 427 443
92000 428 450
93000 435 458
94000 441 462
95000 445 465
96000 450 468
97000 453 475
98000 457 481
99000 462 484
100000 467 487
