# step Epot T p V 
0 -4685.3498 0.0 6516.2575 23823.124 
5000 -5184.8563 305.1833 -308.2294 23350.228 
10000 -5165.2149 301.6671 -534.2457 23268.0202 
15000 -5154.0925 299.1039 -726.3694 22516.4582 
20000 -5208.8841 293.8372 -277.9394 22925.4074 
25000 -5251.6011 295.6238 -145.6114 22472.8358 
30000 -5197.2603 298.7166 -211.8532 22816.1012 
35000 -5208.5849 308.7267 -215.196 22655.208 
40000 -5144.4611 289.1256 -9.0701 22819.438 
45000 -5226.3186 308.0076 -318.3519 22782.9005 
50000 -5267.2759 294.4933 -744.1782 22548.8241 
55000 -5243.9344 293.0329 -114.4678 22591.7499 
60000 -5186.2718 302.9795 -135.6713 22515.1776 
65000 -5195.8658 308.8798 181.8986 22606.6473 
70000 -5217.0169 304.5531 -106.067 22677.3474 
75000 -5185.1301 306.1641 285.9259 22807.1225 
80000 -5197.133 300.6049 -370.0239 23069.9064 
85000 -5211.1107 296.175 898.8234 22736.7871 
90000 -5192.7436 295.6007 291.4078 22846.8472 
95000 -5191.1878 300.251 -557.9229 22690.2266 
100000 -5188.5204 301.821 357.5836 22823.688 
105000 -5224.8026 308.1929 -501.1525 22843.2859 
110000 -5179.1764 304.1563 -129.1058 22770.7958 
115000 -5241.4691 292.4352 -1269.0266 22995.5036 
120000 -5235.2768 298.4398 -229.1872 22649.0472 
125000 -5191.3579 297.8646 509.2255 22354.9371 
130000 -5208.8608 290.2582 -164.6232 22694.6656 
135000 -5181.998 294.0359 -268.0737 22644.9296 
140000 -5187.3848 299.2602 -750.2581 22562.414 
145000 -5190.3808 295.184 -619.0541 22733.9443 
150000 -5239.3036 294.6076 533.9896 22186.9068 
155000 -5177.335 291.3574 -563.5333 22784.3826 
160000 -5204.8257 300.9456 -244.3277 22650.9037 
165000 -5217.1753 305.3148 -104.8854 22652.2878 
170000 -5171.1357 291.7966 246.7702 22632.111 
175000 -5245.5473 291.6813 -296.638 22760.3206 
180000 -5228.5422 303.9053 425.3095 22329.7731 
185000 -5244.3814 293.9314 323.0045 22643.1974 
190000 -5223.6017 290.8588 -285.495 22931.666 
195000 -5160.4894 299.2234 -625.2642 23082.6112 
200000 -5247.8745 309.1197 -433.56 22430.7195 
205000 -5208.437 293.2235 -161.155 22761.8569 
210000 -5158.3995 306.5722 -467.7545 22848.3528 
215000 -5205.5795 294.602 -129.7776 22986.5331 
220000 -5153.0959 307.7072 509.0257 22773.6989 
225000 -5212.4135 318.3701 -199.1956 22718.0229 
230000 -5255.7148 309.3076 562.082 22637.7572 
235000 -5221.7918 304.5768 -232.0328 22773.9516 
240000 -5244.3264 296.565 434.9198 22436.6508 
245000 -5232.4806 293.5005 -1094.1991 22801.1166 
250000 -5157.1283 290.4333 197.7295 22838.9942 
255000 -5176.6399 300.2128 226.6621 22837.3686 
260000 -5160.3423 289.4057 -1053.6429 22979.7978 
265000 -5255.908 291.5434 -109.8843 22407.9093 
270000 -5200.5331 313.0451 175.2967 22373.5085 
275000 -5174.8378 305.187 -979.6971 22796.0508 
280000 -5182.1492 296.1054 -161.9038 22902.1855 
285000 -5226.6442 304.5077 -295.1615 22752.292 
290000 -5243.0005 298.2135 -9.8513 22562.5848 
295000 -5246.0984 302.0232 -422.6236 22415.4735 
300000 -5222.4774 293.7754 -493.6831 22853.9935 
305000 -5233.4332 305.379 -698.1451 22770.2949 
310000 -5146.1921 300.5117 -319.8664 22953.5217 
315000 -5171.7599 300.2992 197.4312 22669.7727 
320000 -5152.2537 300.398 -3.8909 22494.7559 
325000 -5182.7352 290.7094 375.6876 22971.5219 
330000 -5259.623 299.0422 92.3331 22508.1334 
335000 -5191.341 319.3401 -62.67 22814.4768 
340000 -5256.5844 297.3234 -369.4273 22460.3643 
345000 -5179.3471 299.0812 -367.0188 22821.8535 
350000 -5208.0688 300.6644 -475.0763 22893.2651 
355000 -5201.3971 285.4504 -782.8376 23120.3055 
360000 -5202.5991 301.5593 -195.1658 22845.105 
365000 -5236.1186 304.5002 -203.6834 23138.6205 
370000 -5157.5675 287.7569 344.2841 22885.0435 
375000 -5157.2389 286.6499 -126.7024 22804.5325 
380000 -5217.4446 311.9425 -907.2399 22868.7078 
385000 -5181.8597 283.1579 18.5789 22825.2815 
390000 -5220.8972 292.4465 -339.5524 22608.2182 
395000 -5186.8795 290.9028 -336.0648 22826.8979 
400000 -5202.9532 292.7313 164.9299 22636.9825 
405000 -5192.8145 302.5802 263.1949 22592.0024 
410000 -5256.0298 296.9654 -238.8321 22457.2113 
415000 -5222.4583 308.8401 491.28 22494.1122 
420000 -5268.824 307.7965 -492.8256 22598.4236 
425000 -5140.6114 304.3185 -302.6723 22922.5259 
430000 -5129.7494 301.0003 -156.6515 22935.8303 
435000 -5201.3669 280.2182 93.2526 22425.6949 
440000 -5227.7856 299.2555 -427.7388 22643.1198 
445000 -5224.1437 304.2095 285.3921 22462.7749 
450000 -5146.0413 293.0983 -228.1149 22870.8777 
455000 -5217.7915 291.2841 -73.9905 22865.5778 
460000 -5216.4239 294.89 152.6383 22626.6253 
465000 -5201.7671 304.112 -30.1034 22317.2469 
470000 -5150.969 308.8841 -401.1158 22859.0008 
475000 -5193.2728 302.9703 -611.413 22841.0891 
480000 -5172.1897 288.6963 -263.3967 22760.8137 
485000 -5174.1521 300.643 -535.2925 22819.9932 
490000 -5183.801 306.3734 -110.4483 22786.7312 
495000 -5130.3427 307.0602 -407.5862 22716.2533 
500000 -5240.4503 291.0571 -416.3657 22548.0941 
