ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6262       775.2764         0.0000         0.0000         0.0000          -4685.3498         0.0000     -4685.3498     -4684.5917         0.0000           6516.2575      6528.3351     23823.1240      6516.2575      6528.3351
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5649.0839       464.2276         0.0000         0.0000       960.6288          -4224.2275       305.1833     -5184.8563     -4224.0377       278.5424           -308.2294      -287.5466     23350.2280      -177.4407      -177.4024
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5589.4164       424.2014         0.0000         0.0000       949.5606          -4215.6543       301.6671     -5165.2149     -4212.4673       301.1540           -534.2457      -523.2013     23268.0202      -153.8366      -153.7002
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5483.4381       329.3456         0.0000         0.0000       941.4925          -4212.5999       299.1039     -5154.0925     -4210.5432       300.2384           -726.3694      -706.6057     22516.4582      -159.7669      -159.8045
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5605.5412       396.6570         0.0000         0.0000       924.9146          -4283.9696       293.8372     -5208.8841     -4282.4728       299.4296           -277.9394      -251.0035     22925.4074      -197.0241      -197.0403
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5657.8329       406.2318         0.0000         0.0000       930.5382          -4321.0629       295.6238     -5251.6011     -4319.8604       295.8002           -145.6114      -117.6792     22472.8358      -226.9742      -226.9652
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5605.1850       407.9247         0.0000         0.0000       940.2733          -4256.9870       298.7166     -5197.2603     -4254.3538       295.5510           -211.8532      -211.5736     22816.1012      -188.8900      -188.9736
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5596.5365       387.9516         0.0000         0.0000       971.7823          -4236.8027       308.7267     -5208.5849     -4234.6908       298.3431           -215.1960      -211.1530     22655.2080      -267.6487      -267.6888
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5529.8436       385.3825         0.0000         0.0000       910.0836          -4234.3775       289.1256     -5144.4611     -4231.3143       304.2712             -9.0701        10.8764     22819.4380      -257.0269      -256.9216
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5623.2471       396.9285         0.0000         0.0000       969.5189          -4256.7997       308.0076     -5226.3186     -4255.3505       297.2045           -318.3519      -294.1909     22782.9005      -288.9054      -289.0490
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5630.2973       363.0214         0.0000         0.0000       926.9795          -4340.2963       294.4933     -5267.2759     -4337.7235       292.1627           -744.1782      -714.7742     22548.8241      -274.7994      -274.9014
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5669.1083       425.1739         0.0000         0.0000       922.3827          -4321.5517       293.0329     -5243.9344     -4319.1617       295.9703           -114.4678       -89.9058     22591.7499      -265.3716      -265.3606
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5565.3790       379.1072         0.0000         0.0000       953.6919          -4232.5799       302.9795     -5186.2718     -4231.1838       296.2424           -135.6713      -127.2698     22515.1776      -282.6926      -282.6491
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5605.7836       409.9179         0.0000         0.0000       972.2643          -4223.6015       308.8798     -5195.8658     -4223.3003       302.4806            181.8986       199.4187     22606.6473      -282.9140      -283.0216
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5612.4801       395.4632         0.0000         0.0000       958.6450          -4258.3719       304.5531     -5217.0169     -4254.7051       300.8449           -106.0670       -79.2710     22677.3474      -230.4698      -230.4416
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5615.8521       430.7220         0.0000         0.0000       963.7160          -4221.4141       306.1641     -5185.1301     -4218.3163       300.3382            285.9259       297.0598     22807.1225      -275.7490      -275.6858
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5607.1444       410.0115         0.0000         0.0000       946.2171          -4250.9159       300.6049     -5197.1330     -4248.3930       303.5659           -370.0239      -357.5931     23069.9064      -196.2760      -196.2608
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5664.5596       453.4489         0.0000         0.0000       932.2733          -4278.8374       296.1750     -5211.1107     -4276.7890       299.2115            898.8234       929.2195     22736.7871      -176.1816      -176.1723
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5627.4956       434.7520         0.0000         0.0000       930.4653          -4262.2783       295.6007     -5192.7436     -4260.0416       298.2617            291.4078       321.3330     22846.8472      -222.9998      -223.1277
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5530.0765       338.8887         0.0000         0.0000       945.1031          -4246.0847       300.2510     -5191.1878     -4243.4173       298.0115           -557.9229      -553.8167     22690.2266      -291.8370      -291.7393
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5636.2642       447.7438         0.0000         0.0000       950.0452          -4238.4752       301.8210     -5188.5204     -4236.5191       297.5500            357.5836       382.2200     22823.6880      -187.2469      -187.2149
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5599.4454       374.6428         0.0000         0.0000       970.1021          -4254.7005       308.1929     -5224.8026     -4252.8477       298.1965           -501.1525      -485.5516     22843.2859      -212.8408      -212.8816
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5588.2484       409.0721         0.0000         0.0000       957.3960          -4221.7803       304.1563     -5179.1764     -4219.4393       302.5462           -129.1058      -101.9192     22770.7958      -214.8733      -214.8424
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5568.1216       326.6525         0.0000         0.0000       920.5014          -4320.9677       292.4352     -5241.4691     -4318.4757       300.1967          -1269.0266     -1248.9263     22995.5036      -263.4941      -263.4739
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5625.4123       390.1354         0.0000         0.0000       939.4022          -4295.8746       298.4398     -5235.2768     -4293.9642       295.7627           -229.1872      -212.0011     22649.0472      -189.8782      -189.8123
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5601.2888       409.9309         0.0000         0.0000       937.5917          -4253.7662       297.8646     -5191.3579     -4250.1692       295.2930            509.2255       530.7488     22354.9371      -184.9929      -184.8739
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5617.0130       408.1522         0.0000         0.0000       913.6487          -4295.2120       290.2582     -5208.8608     -4293.3160       298.4113           -164.6232      -146.1862     22694.6656      -261.0328      -261.1470
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5552.8490       370.8509         0.0000         0.0000       925.5399          -4256.4582       294.0359     -5181.9980     -4255.6628       298.5889           -268.0737      -240.1498     22644.9296      -239.5867      -239.6607
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5504.8180       317.4331         0.0000         0.0000       941.9846          -4245.4002       299.2602     -5187.3848     -4243.3856       298.9088           -750.2581      -724.6193     22562.4140      -233.0593      -232.8324
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5571.7103       381.3295         0.0000         0.0000       929.1539          -4261.2270       295.1840     -5190.3808     -4257.9186       301.4523           -619.0541      -593.2459     22733.9443      -233.8918      -233.8175
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5650.7663       411.4627         0.0000         0.0000       927.3395          -4311.9640       294.6076     -5239.3036     -4309.3105       300.6645            533.9896       552.4889     22186.9068      -210.0641      -210.0312
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5542.6170       365.2820         0.0000         0.0000       917.1088          -4260.2263       291.3574     -5177.3350     -4258.4908       298.8213           -563.5333      -534.0493     22784.3826      -282.6892      -282.8385
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5576.9933       372.1675         0.0000         0.0000       947.2897          -4257.5361       300.9456     -5204.8257     -4255.6516       299.7996           -244.3277      -227.6272     22650.9037      -259.8226      -259.8157
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5635.6482       418.4729         0.0000         0.0000       961.0426          -4256.1327       305.3148     -5217.1753     -4254.1656       300.7267           -104.8854       -79.3681     22652.2878      -142.7397      -142.7264
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5594.4997       423.3640         0.0000         0.0000       918.4912          -4252.6445       291.7966     -5171.1357     -4250.0531       301.1600            246.7702       260.5847     22632.1110      -226.9730      -227.0139
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5661.7635       416.2162         0.0000         0.0000       918.1283          -4327.4190       291.6813     -5245.5473     -4324.3372       298.6544           -296.6380      -285.2277     22760.3206      -240.2148      -240.2100
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5659.1591       430.6169         0.0000         0.0000       956.6060          -4271.9362       303.9053     -5228.5422     -4270.5106       297.8279            425.3095       445.1884     22329.7731      -161.1418      -161.0095
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5689.5522       445.1708         0.0000         0.0000       925.2109          -4319.1705       293.9314     -5244.3814     -4316.7383       294.6674            323.0045       339.1735     22643.1974      -215.0752      -214.8147
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5635.6489       412.0473         0.0000         0.0000       915.5393          -4308.0624       290.8588     -5223.6017     -4306.6772       293.1055           -285.4950      -261.3291     22931.6660      -206.6786      -206.5508
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5524.1576       363.6682         0.0000         0.0000       941.8687          -4218.6208       299.2234     -5160.4894     -4217.1332       295.3330           -625.2642      -605.1959     23082.6112      -208.4358      -208.2866
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5596.9176       349.0431         0.0000         0.0000       973.0194          -4274.8551       309.1197     -5247.8745     -4272.8706       299.6639           -433.5600      -423.9775     22430.7195      -239.0161      -239.1470
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5604.6589       396.2220         0.0000         0.0000       922.9826          -4285.4544       293.2235     -5208.4370     -4283.0086       295.1521           -161.1550      -140.9041     22761.8569      -211.1331      -211.0530
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5522.8338       364.4343         0.0000         0.0000       965.0005          -4193.3989       306.5722     -5158.3995     -4192.3894       303.8234           -467.7545      -440.6906     22848.3528      -244.1151      -244.0715
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5652.4917       446.9122         0.0000         0.0000       927.3219          -4278.2576       294.6020     -5205.5795     -4276.0421       296.5126           -129.7776      -114.8461     22986.5331      -215.0291      -215.1122
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5567.6693       414.5734         0.0000         0.0000       968.5733          -4184.5226       307.7072     -5153.0959     -4181.9642       300.3787            509.0257       524.2463     22773.6989      -289.4105      -289.5532
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5613.5070       401.0935         0.0000         0.0000      1002.1371          -4210.2764       318.3701     -5212.4135     -4207.9030       302.5491           -199.1956      -181.7302     22718.0229      -225.4318      -225.3758
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5704.2736       448.5588         0.0000         0.0000       973.6106          -4282.1042       309.3076     -5255.7148     -4280.4317       298.8086            562.0820       581.9524     22637.7572      -252.4402      -252.3218
