# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 1
80 0 2
90 1 2
100 1 2
110 1 2
120 1 3
130 1 3
140 1 3
150 1 3
160 1 3
170 1 3
180 1 3
190 2 3
200 4 3
210 5 3
220 10 3
230 10 3
240 10 3
250 10 3
260 10 3
270 10 3
280 11 3
290 13 4
300 13 4
310 13 4
320 13 4
330 13 5
340 13 5
350 14 5
360 14 5
370 14 5
380 14 5
390 14 5
400 15 6
410 15 7
420 15 8
430 15 8
440 15 9
450 15 10
460 15 11
470 16 11
480 16 11
490 16 11
500 17 11
510 17 11
520 18 11
530 18 11
540 18 11
550 18 12
560 18 12
570 18 12
580 18 12
590 18 12
600 18 12
610 19 12
620 20 12
630 20 12
640 20 12
650 22 12
660 22 12
670 22 12
680 22 12
690 22 12
700 22 12
710 22 12
720 22 12
730 23 12
740 23 12
750 23 12
760 24 12
770 25 12
780 25 12
790 25 12
800 26 12
810 26 12
820 26 12
830 26 13
840 26 14
850 27 14
860 27 14
870 27 14
880 27 15
890 28 17
900 28 17
910 28 17
920 28 17
930 28 17
940 28 17
950 28 18
960 28 18
970 28 18
980 28 18
990 28 20
1000 28 20
