# frame +z -z 
10 0 0
20 0 0
30 0 21
40 0 42
50 0 63
60 0 83
70 0 103
80 0 125
90 0 146
100 0 167
110 0 186
120 0 207
130 0 226
140 0 246
150 0 266
160 0 285
170 0 305
180 0 327
190 0 347
200 0 368
210 0 391
220 0 411
230 0 432
240 0 451
250 0 472
260 0 492
270 0 510
280 0 529
290 0 546
300 0 566
310 0 589
320 0 610
330 0 630
340 0 647
350 0 666
360 0 686
370 0 706
380 0 727
390 0 749
400 0 768
410 0 787
420 0 808
430 0 829
440 0 849
450 0 867
460 0 885
470 0 903
480 0 924
490 0 944
500 0 961
510 0 982
520 0 1003
530 0 1025
540 0 1043
550 0 1063
560 0 1082
570 0 1103
580 0 1122
590 0 1143
600 0 1162
610 0 1180
620 0 1200
630 0 1221
640 0 1243
650 0 1261
660 0 1282
670 0 1301
680 0 1323
690 0 1342
700 0 1364
710 0 1386
720 0 1406
730 0 1426
740 0 1444
750 0 1463
760 0 1483
770 0 1505
780 0 1524
790 0 1544
800 0 1566
810 0 1585
820 0 1604
830 0 1628
840 0 1649
850 0 1669
860 0 1687
870 0 1707
880 0 1727
890 0 1751
900 0 1773
910 0 1793
920 0 1811
930 0 1832
940 0 1850
950 0 1870
960 0 1891
970 0 1911
980 0 1933
990 0 1953
1000 0 1974
