# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 1
80 0 4
90 0 6
100 0 8
110 0 8
120 0 9
130 0 13
140 0 14
150 0 17
160 0 20
170 0 22
180 0 23
190 0 25
200 0 27
210 0 28
220 0 29
230 0 30
240 0 35
250 0 35
260 0 37
270 0 39
280 0 40
290 0 40
300 0 42
310 0 43
320 0 44
330 0 44
340 0 46
350 0 49
360 0 51
370 0 56
380 0 57
390 0 61
400 0 62
410 0 64
420 0 66
430 0 72
440 0 77
450 0 80
460 0 81
470 0 85
480 0 90
490 0 94
500 0 97
510 0 100
520 0 102
530 0 105
540 0 106
550 0 108
560 0 108
570 0 109
580 0 111
590 0 113
600 0 115
610 0 117
620 0 119
630 0 122
640 0 124
650 0 125
660 0 129
670 0 133
680 0 136
690 0 139
700 0 140
710 0 147
720 0 147
730 0 149
740 0 151
750 0 153
760 0 155
770 0 160
780 0 162
790 0 163
800 0 163
810 0 165
820 0 167
830 0 169
840 0 172
850 0 173
860 0 175
870 0 176
880 0 178
890 0 180
900 0 183
910 0 183
920 0 183
930 0 184
940 0 185
950 0 185
960 0 186
970 0 189
980 0 195
990 0 197
1000 0 199
