# frame +z -z 
1000 0 0
2000 0 0
3000 7 2
4000 12 8
5000 17 12
6000 22 15
7000 26 20
8000 29 23
9000 32 26
10000 35 31
11000 41 33
12000 43 36
13000 45 42
14000 55 46
15000 60 51
16000 67 54
17000 71 58
18000 75 61
19000 79 66
20000 84 73
21000 91 80
22000 99 84
23000 104 92
24000 109 94
25000 114 99
26000 120 103
27000 127 110
28000 130 118
29000 134 125
30000 139 132
31000 145 137
32000 150 145
33000 157 150
34000 163 152
35000 167 159
36000 174 161
37000 178 165
38000 184 169
39000 189 179
40000 193 185
41000 197 189
42000 201 193
43000 209 199
44000 215 204
45000 221 209
46000 232 211
47000 238 214
48000 239 219
49000 243 226
50000 250 232
51000 258 237
52000 261 241
53000 264 245
54000 272 251
55000 279 253
56000 284 256
57000 290 261
58000 294 264
59000 301 267
60000 304 273
61000 308 280
62000 313 284
63000 318 288
64000 323 293
65000 328 299
66000 330 304
67000 335 309
68000 342 313
69000 350 317
70000 353 323
71000 357 330
72000 364 339
73000 369 342
74000 372 344
75000 380 348
76000 383 355
77000 386 359
78000 387 366
79000 393 369
80000 398 374
81000 402 380
82000 407 384
83000 411 387
84000 418 392
85000 424 397
86000 429 399
87000 434 403
88000 435 409
89000 436 416
90000 442 422
91000 444 427
92000 447 431
93000 453 433
94000 459 437
95000 465 442
96000 470 449
97000 473 456
98000 476 460
99000 479 462
100000 486 466
