# step Etot Epot T p 
0 -9930.9718 -21360.4475 324.4527 -352.5123 
500 -9734.6636 -21205.1607 325.6172 -256.2841 
1000 -9895.6925 -21190.3521 320.6257 -402.8981 
1500 -9903.9046 -21082.2447 317.3237 -752.6999 
2000 -9836.9164 -21180.2691 322.0079 -51.3428 
2500 -9915.9891 -21187.2217 319.9606 -569.841 
3000 -9811.0139 -21044.4994 318.8891 -173.4786 
3500 -9741.7299 -21094.5689 322.2772 -401.1365 
4000 -9718.1823 -21143.6613 324.3393 588.7852 
4500 -9620.7204 -20929.4643 321.0255 295.6429 
5000 -9681.6073 -21024.7249 322.0013 -170.3627 
5500 -9702.021 -21011.8636 321.0567 -645.1754 
6000 -9769.3201 -21120.8369 322.2397 -690.4631 
6500 -9623.652 -21051.1471 324.3965 3.2375 
7000 -9641.373 -21013.1186 322.8139 -688.4033 
7500 -9776.8002 -21025.5282 319.3218 -295.9178 
8000 -9587.9765 -20964.5035 322.9497 -303.1622 
8500 -9721.4628 -20988.4695 319.8407 -117.9886 
9000 -9869.4813 -21247.8452 323.0018 36.3064 
9500 -9757.6133 -21101.1384 322.0128 456.8764 
10000 -9884.879 -21190.5472 320.9382 220.3435 
10500 -9811.8195 -21076.4701 319.7738 253.0789 
11000 -9593.7545 -20960.732 322.6786 68.3129 
11500 -9710.8714 -21047.3322 321.8123 -131.7218 
12000 -9672.8345 -21019.1695 322.0926 -89.3609 
12500 -9653.9655 -21033.801 323.0436 168.6197 
13000 -9677.2328 -21068.8532 323.3781 70.911 
13500 -9605.8255 -21032.5527 324.3747 134.4761 
14000 -9700.587 -21086.1246 323.2055 -901.5621 
14500 -9832.4463 -21084.3268 319.4113 -309.8024 
15000 -9763.1227 -21075.7926 321.1369 60.8491 
15500 -9808.8911 -21025.8589 318.4202 -147.227 
16000 -9748.5263 -21078.9282 321.6403 -188.7102 
16500 -9725.5065 -21148.0642 324.2564 263.3268 
17000 -9691.8533 -21023.224 321.6678 120.2134 
17500 -9759.0735 -21098.4208 321.8942 94.5425 
