ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0       974.2161      5894.6916      3507.1793        39.0715         -30288.6646     -1486.9413         0.0000         0.0000     11429.4757          -9930.9718       324.4527    -21360.4475     -9837.2516       324.4527           -352.5123      -347.9747    153671.6957      -352.5123      -347.9747
ENERGY:     500       994.2152      5876.7967      3534.3938        42.5027         -30292.7089     -1360.3603         0.0000         0.0000     11470.4971          -9734.6636       325.6172    -21205.1607     -9632.4160       322.0068           -256.2841      -238.2891    153671.6957      -124.3068      -124.1835
ENERGY:    1000      1003.1127      5898.9156      3584.9614        46.2229         -30407.6945     -1315.8703         0.0000         0.0000     11294.6596          -9895.6925       320.6257    -21190.3521     -9797.8888       320.1439           -402.8981      -385.8206    153671.6957       -72.0700       -72.0461
ENERGY:    1500      1012.6216      5922.4111      3543.5109        50.7938         -30275.5078     -1336.0743         0.0000         0.0000     11178.3401          -9903.9046       317.3237    -21082.2447     -9808.3398       320.6627           -752.6999      -725.9555    153671.6957      -195.6950      -195.6807
ENERGY:    2000      1020.4902      5937.2822      3537.5087        41.5551         -30429.8796     -1287.2257         0.0000         0.0000     11343.3527          -9836.9164       322.0079    -21180.2691     -9743.6061       321.1798            -51.3428       -49.4380    153671.6957      -142.6123      -142.6900
ENERGY:    2500      1026.2245      5896.0337      3587.0079        45.2836         -30386.3363     -1355.4351         0.0000         0.0000     11271.2326          -9915.9891       319.9606    -21187.2217     -9821.0821       320.5644           -569.8410      -564.4876    153671.6957      -187.6379      -187.6634
ENERGY:    3000      1025.2322      5875.9388      3577.3028        54.9996         -30255.0760     -1322.8968         0.0000         0.0000     11233.4855          -9811.0139       318.8891    -21044.4994     -9715.6460       320.3429           -173.4786      -156.0507    153671.6957      -264.1928      -264.1706
ENERGY:    3500      1036.3118      5944.1610      3568.1428        50.6312         -30252.8357     -1440.9800         0.0000         0.0000     11352.8390          -9741.7299       322.2772    -21094.5689     -9645.0652       320.7468           -401.1365      -378.6804    153671.6957      -145.4912      -145.6031
ENERGY:    4000       998.0999      5928.2934      3527.1301        43.4709         -30502.7963     -1137.8594         0.0000         0.0000     11425.4790          -9718.1823       324.3393    -21143.6613     -9623.0092       322.1622            588.7852       586.5081    153671.6957        14.0259        14.1717
ENERGY:    4500      1029.7975      5903.4721      3601.0714        41.2398         -30340.5750     -1164.4701         0.0000         0.0000     11308.7439          -9620.7204       321.0255    -20929.4643     -9526.1967       323.0075            295.6429       310.8890    153671.6957        -0.4238        -0.9125
ENERGY:    5000      1021.5155      5961.7288      3551.0474        42.6569         -30378.5858     -1223.0877         0.0000         0.0000     11343.1176          -9681.6073       322.0013    -21024.7249     -9586.5996       322.3517           -170.3627      -151.3172    153671.6957       -70.8775       -70.8128
ENERGY:    5500       973.5563      6066.9815      3573.8018        38.8842         -30331.8495     -1333.2380         0.0000         0.0000     11309.8426          -9702.0210       321.0567    -21011.8636     -9613.1451       321.8088           -645.1754      -614.2389    153671.6957      -122.1409      -121.7934
ENERGY:    6000      1080.2312      5965.8764      3561.6252        40.4367         -30500.1201     -1268.8862         0.0000         0.0000     11351.5168          -9769.3201       322.2397    -21120.8369     -9669.7846       322.1114           -690.4631      -667.1996    153671.6957       -90.2852       -90.1073
ENERGY:    6500      1071.5770      6026.4694      3515.6311        40.7021         -30432.4888     -1273.0379         0.0000         0.0000     11427.4951          -9623.6520       324.3965    -21051.1471     -9527.0721       322.3827              3.2375        27.5484    153671.6957      -241.1661      -241.1134
