ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000              0.0000    -31150.7773         0.0000         0.0000       794.9968         -30355.7806       308.6887    -31150.7773    -30355.7806       308.6887            292.3396       292.3396    125000.0000       292.3396       292.3396
ENERGY:     500         0.0000         0.0000         0.0000         0.0000              0.0000    -30511.0362         0.0000         0.0000       646.2878         -29864.7484       250.9466    -30511.0362    -29865.7959       204.8317            294.1932       294.1932    125000.0000        14.1271        14.1271
ENERGY:    1000         0.0000         0.0000         0.0000         0.0000              0.0000    -30411.0529         0.0000         0.0000       715.8977         -29695.1552       277.9754    -30411.0529    -29695.4680       262.7123           -101.9652      -101.9652    125000.0000       -89.5426       -89.5426
ENERGY:    1500         0.0000         0.0000         0.0000         0.0000              0.0000    -30338.3310         0.0000         0.0000       718.0639         -29620.2671       278.8165    -30338.3310    -29621.4374       283.2863            -76.6461       -76.6461    125000.0000        46.2616        46.2616
ENERGY:    2000         0.0000         0.0000         0.0000         0.0000              0.0000    -30351.8021         0.0000         0.0000       776.1170         -29575.6851       301.3579    -30351.8021    -29576.0192       290.1650           -109.9991      -109.9991    125000.0000        -3.3403        -3.3403
ENERGY:    2500         0.0000         0.0000         0.0000         0.0000              0.0000    -30288.4380         0.0000         0.0000       747.6556         -29540.7824       290.3066    -30288.4380    -29541.8154       298.9190             77.0220        77.0220    125000.0000       -36.6694       -36.6694
ENERGY:    3000         0.0000         0.0000         0.0000         0.0000              0.0000    -30336.7765         0.0000         0.0000       771.0936         -29565.6829       299.4074    -30336.7765    -29565.2534       302.2131            -16.8717       -16.8717    125000.0000       -82.9578       -82.9578
ENERGY:    3500         0.0000         0.0000         0.0000         0.0000              0.0000    -30328.1732         0.0000         0.0000       764.9475         -29563.2257       297.0209    -30328.1732    -29563.5265       301.1044            109.7922       109.7922    125000.0000       -41.0612       -41.0612
ENERGY:    4000         0.0000         0.0000         0.0000         0.0000              0.0000    -30332.6122         0.0000         0.0000       754.9451         -29577.6671       293.1371    -30332.6122    -29578.8616       302.9751            -16.2462       -16.2462    125000.0000        55.8868        55.8868
ENERGY:    4500         0.0000         0.0000         0.0000         0.0000              0.0000    -30339.8140         0.0000         0.0000       763.3719         -29576.4421       296.4091    -30339.8140    -29574.2591       296.9810            -10.7510       -10.7510    125000.0000        54.0679        54.0679
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000              0.0000    -30368.5087         0.0000         0.0000       768.0003         -29600.5083       298.2063    -30368.5087    -29600.1064       296.8773            336.2175       336.2175    125000.0000       -74.4934       -74.4934
