# step Etot Epot T p 
0 -27397.5712 -31150.7773 1457.3297 1388.8492 
500 -24424.7118 -27209.5195 1081.3109 -599.7237 
1000 -23152.402 -26294.4848 1220.037 54.6155 
1500 -22359.8414 -25849.8422 1355.1299 -164.2163 
2000 -21574.1589 -25260.4263 1431.3381 400.4875 
2500 -21157.401 -24957.0239 1475.3528 155.1264 
3000 -20887.6593 -24739.4221 1495.5981 211.8367 
3500 -20885.3393 -24569.7656 1430.6232 843.8267 
4000 -20738.925 -24402.676 1422.5952 -317.2643 
4500 -20517.7481 -24176.8388 1420.7856 71.0902 
5000 -20474.7824 -24252.5029 1466.8483 -269.5499 
5500 -20441.9261 -24208.5577 1462.5427 -100.9058 
6000 -20257.3402 -24171.2976 1519.7477 392.6788 
6500 -20172.8457 -23932.0794 1459.6701 299.2141 
7000 -20159.8908 -23955.9594 1473.9727 391.2842 
7500 -20264.496 -24208.7816 1531.5237 339.4132 
8000 -20303.2142 -23866.557 1383.6078 -824.7669 
8500 -20156.1318 -24106.0029 1533.6925 84.3414 
9000 -20083.2213 -23792.701 1440.3511 149.1587 
9500 -20061.1546 -23821.9232 1460.2661 -775.8314 
10000 -20000.1512 -24028.4038 1564.1273 -352.5605 
10500 -19999.8574 -23824.8774 1485.2142 217.682 
11000 -20086.7537 -23815.7743 1447.9387 -785.9938 
11500 -20008.3521 -23821.9673 1480.7858 143.1257 
12000 -19993.8045 -23679.6564 1431.1767 -68.1734 
12500 -19761.1693 -23635.4713 1504.3499 329.9054 
13000 -19890.1689 -23553.4658 1422.4189 -111.6726 
13500 -20002.7257 -23758.7811 1458.436 -524.1714 
14000 -19576.1877 -23439.1425 1499.9439 361.4167 
14500 -19572.4974 -23461.4553 1510.0406 842.5119 
15000 -19740.4979 -23599.8786 1498.5561 -212.9973 
15500 -19937.6052 -23767.5896 1487.1418 -366.4179 
16000 -19837.1607 -23748.6837 1518.8024 389.5018 
16500 -19704.782 -23548.0417 1492.2965 180.5815 
17000 -19595.11 -23392.6406 1474.5404 -332.5999 
17500 -19706.3195 -23552.4866 1493.4254 -202.7295 
18000 -19597.5476 -23342.5484 1454.1436 286.043 
18500 -19573.0837 -23590.0368 1559.7398 250.1874 
19000 -19661.314 -23499.5771 1490.3563 299.939 
19500 -19651.0221 -23651.5384 1553.3576 269.3599 
20000 -19583.8947 -23411.9004 1486.3735 185.2238 
20500 -19704.81 -23474.0793 1463.5668 -129.4187 
21000 -19422.9889 -23305.1686 1507.4087 -419.8943 
21500 -19250.1908 -23238.9475 1548.7914 279.9733 
22000 -19752.5362 -23535.3089 1468.8101 546.9854 
22500 -19593.1021 -23580.9171 1548.4258 -146.3532 
23000 -19352.7109 -23434.7551 1585.0139 440.0721 
23500 -19605.9329 -23548.7821 1530.966 154.9546 
24000 -19882.5177 -23749.9811 1501.6946 99.5711 
24500 -19499.6074 -23434.6071 1527.9181 341.3709 
25000 -19527.7991 -23329.6683 1476.225 -819.0576 
25500 -19643.1873 -23572.9287 1525.8764 19.6769 
26000 -19471.0798 -23308.0468 1489.8531 135.7709 
26500 -19613.7613 -23601.4664 1548.3831 71.4384 
27000 -19897.3924 -23776.2726 1506.1275 -278.3677 
27500 -19776.0143 -23633.8013 1497.9373 -469.295 
28000 -19790.452 -23617.3391 1485.9392 114.2781 
28500 -19449.2126 -23441.4252 1550.1333 -425.9593 
29000 -19679.6489 -23431.8406 1456.9358 638.7486 
29500 -19560.8603 -23480.426 1521.9253 -663.2361 
30000 -19525.7939 -23451.8368 1524.4403 -28.1639 
30500 -19604.0545 -23385.4809 1468.2873 381.6649 
31000 -19572.5379 -23493.0015 1522.2739 -405.3022 
31500 -19423.667 -23293.4091 1502.5793 120.1032 
32000 -19414.628 -23293.3787 1506.0773 69.6215 
32500 -19380.0161 -23490.9152 1596.218 190.6081 
33000 -19482.07 -23377.8438 1512.6872 210.4657 
33500 -19604.5321 -23525.117 1522.321 310.7393 
34000 -19626.438 -23356.3847 1448.2983 737.0048 
34500 -19798.1015 -23709.1165 1518.6052 214.4836 
35000 -19758.9609 -23566.2105 1478.3141 41.5481 
35500 -19537.7259 -23443.6942 1516.6456 251.9048 
36000 -19436.4195 -23058.3971 1406.375 -259.6422 
36500 -19710.2722 -23423.3982 1441.767 5.2918 
37000 -19650.989 -23477.398 1485.7535 346.6422 
37500 -19505.41 -23450.9687 1532.0181 -133.8525 
38000 -19615.5527 -23302.9762 1431.787 -471.2721 
38500 -19738.8251 -23574.5637 1489.3761 124.5128 
39000 -19645.0226 -23453.5303 1478.8026 20.1722 
39500 -19662.7456 -23572.7849 1518.2263 -951.0813 
40000 -19756.7868 -23618.9194 1499.6246 93.8178 
40500 -20010.7826 -23928.0795 1521.0444 -91.2325 
41000 -19830.5236 -23744.8304 1519.8833 56.314 
41500 -19816.8713 -23647.2352 1487.2892 571.3001 
42000 -19808.6918 -23724.5834 1520.4987 73.116 
42500 -19933.752 -23669.9624 1450.7304 -571.0757 
43000 -19837.9759 -23679.5622 1491.6467 339.6717 
43500 -19614.2379 -23479.4326 1500.8136 727.3424 
44000 -19600.296 -23460.2572 1498.7815 -143.3335 
44500 -19561.6265 -23476.7193 1520.1885 403.5229 
45000 -19807.8473 -23648.1803 1491.1601 -243.8443 
45500 -19721.3416 -23540.0634 1482.7687 -472.6396 
46000 -19417.4123 -23279.138 1499.4666 -194.8909 
46500 -19579.093 -23523.1667 1531.4415 330.7369 
47000 -19596.6901 -23508.2361 1518.8114 -256.534 
47500 -19521.8324 -23484.2744 1538.5737 173.4834 
48000 -19544.1344 -23506.7571 1538.6438 421.4778 
48500 -19810.6361 -23520.9189 1440.663 285.684 
49000 -19587.9225 -23434.7721 1493.6904 397.535 
49500 -19742.624 -23528.0735 1469.8494 464.7439 
50000 -19815.6554 -23542.869 1447.237 -128.9341 
50500 -19757.4428 -23709.4275 1534.5132 8.6048 
51000 -19423.7516 -23317.6832 1511.9719 16.9157 
51500 -19518.7559 -23390.936 1503.526 -86.9504 
52000 -19376.7266 -23210.1891 1488.4923 -92.0436 
52500 -19443.7149 -23154.4479 1440.8378 338.5921 
53000 -19406.2504 -23188.1987 1468.4899 -584.2091 
53500 -19608.5035 -23478.0166 1502.4904 -79.0464 
54000 -19798.2287 -23717.9627 1521.9906 126.5466 
54500 -19806.349 -23683.7503 1505.5533 -632.3116 
55000 -19534.7008 -23441.6632 1517.0316 320.4954 
55500 -19514.5374 -23413.4236 1513.8957 53.4786 
56000 -19665.9503 -23491.4164 1485.3874 449.4053 
56500 -19556.763 -23361.1327 1477.1959 -746.9641 
57000 -19805.5958 -23633.3524 1486.2768 59.9719 
57500 -19732.2024 -23485.4244 1457.3358 18.898 
58000 -19955.1899 -23551.486 1396.4032 338.9401 
58500 -19796.2036 -23436.1223 1413.3414 243.4672 
59000 -19776.2493 -23663.2409 1509.2771 958.7345 
59500 -20098.6015 -23737.757 1413.045 -166.4852 
60000 -19777.8281 -23558.0994 1467.8388 -240.8254 
60500 -19630.7854 -23554.1949 1523.4178 334.7174 
61000 -19456.8177 -23396.7034 1529.8153 -1106.0455 
61500 -19622.0055 -23492.577 1502.9014 624.5704 
62000 -19737.0257 -23556.8089 1483.1808 136.3297 
62500 -19891.311 -23532.7121 1413.917 -566.2097 
63000 -19891.3077 -23493.7784 1398.8007 -36.3373 
63500 -19743.4033 -23599.2225 1497.1732 -52.6131 
64000 -19654.5855 -23430.8835 1466.296 -621.9915 
64500 -19542.7742 -23372.2262 1486.9351 -338.2732 
65000 -19584.3528 -23462.188 1505.7218 55.1571 
65500 -19761.1735 -23668.3531 1517.1159 180.31 
66000 -19958.2368 -23710.3776 1456.916 86.2492 
66500 -19898.4684 -23704.7145 1477.9245 273.5061 
67000 -19605.5766 -23504.6254 1513.9588 77.6004 
67500 -19722.9879 -23526.6661 1476.9274 -278.1318 
68000 -19782.5061 -23582.5914 1475.5323 146.3273 
68500 -19790.9942 -23832.619 1569.3195 83.9439 
69000 -19940.5354 -23683.1238 1453.2069 -449.5962 
69500 -19722.6634 -23564.4163 1491.7114 -197.156 
70000 -19844.7741 -23782.1718 1528.8492 119.2084 
70500 -19749.3674 -23626.6723 1505.5159 583.6677 
71000 -19865.3588 -23678.5566 1480.6238 -433.1283 
71500 -19811.4612 -23486.6643 1427.0419 738.1608 
72000 -19810.564 -23666.9159 1497.3801 -466.633 
72500 -19696.8043 -23498.8417 1476.2903 -380.6871 
73000 -19832.3252 -23720.8069 1509.8557 134.108 
73500 -19675.6835 -23456.2257 1467.9439 -348.2128 
74000 -19739.2992 -23646.5874 1517.1581 82.367 
74500 -19792.3042 -23521.391 1447.9644 -686.9024 
75000 -19382.9857 -23431.071 1571.8281 767.9926 
75500 -19450.8286 -23380.1852 1525.727 -399.5618 
76000 -19641.6154 -23566.853 1524.1276 -694.9442 
76500 -19999.9651 -23909.2345 1517.9274 341.4938 
77000 -19761.0639 -23701.8725 1530.1737 -436.3322 
77500 -19736.71 -23619.0978 1507.4895 279.6193 
78000 -19467.0615 -23462.113 1551.2356 -331.7511 
78500 -19323.5314 -23097.5378 1465.4062 62.3213 
79000 -19290.2302 -23278.1342 1548.4603 -144.2714 
79500 -19097.2241 -23137.8072 1568.9151 60.0481 
80000 -19132.0905 -23061.3596 1525.693 4.4098 
80500 -19388.0163 -23217.5156 1486.9535 -150.5726 
81000 -19416.1815 -23372.3711 1536.146 313.2548 
81500 -19512.3666 -23496.3136 1546.9238 -416.5996 
82000 -19726.693 -23610.5705 1508.0679 171.6273 
82500 -19814.2129 -23764.6757 1533.9223 -21.3271 
83000 -19683.0441 -23541.3161 1498.1256 -448.3131 
83500 -19901.5892 -23653.0775 1456.6626 642.9509 
84000 -19679.2126 -23559.3481 1506.615 1072.3759 
