# frame +z -z 
0 0 0 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 0 
11 0 0 
12 1 0 
13 1 0 
14 2 0 
15 2 0 
16 3 0 
17 3 0 
18 4 0 
19 4 0 
20 4 0 
21 4 0 
22 4 0 
23 4 0 
24 4 0 
25 4 0 
26 4 0 
27 5 0 
28 6 0 
29 7 0 
30 7 0 
31 7 0 
32 7 0 
33 7 0 
34 9 0 
35 10 0 
36 10 0 
37 10 0 
38 10 0 
39 10 0 
40 10 0 
41 10 0 
42 10 0 
43 10 0 
44 10 0 
45 10 0 
46 10 0 
47 11 0 
48 12 0 
49 12 0 
50 12 0 
51 12 0 
52 12 0 
53 12 0 
54 12 0 
55 12 0 
56 12 0 
57 12 0 
58 12 0 
59 12 0 
60 12 0 
61 12 0 
62 12 0 
63 12 0 
64 12 0 
65 12 0 
66 12 0 
67 12 0 
68 12 0 
69 12 0 
70 12 0 
71 12 0 
72 12 0 
73 12 0 
74 12 0 
75 12 0 
76 12 0 
77 12 0 
78 12 0 
79 12 0 
80 12 0 
81 12 0 
82 12 0 
83 12 0 
84 12 0 
85 12 0 
86 12 0 
87 12 0 
88 12 0 
89 12 0 
90 12 0 
91 12 0 
92 12 0 
93 12 0 
94 12 0 
95 12 0 
96 12 0 
97 12 0 
98 12 0 
99 12 0 
100 12 0 
101 13 0 
102 13 0 
103 13 0 
104 15 0 
105 15 0 
106 15 0 
107 15 0 
108 15 0 
109 15 0 
110 15 0 
111 15 0 
112 15 0 
113 15 0 
114 15 0 
115 15 0 
116 15 0 
117 15 0 
118 15 0 
119 15 0 
120 15 0 
121 15 0 
122 15 0 
123 15 0 
124 16 0 
125 16 0 
126 16 0 
127 16 0 
128 16 0 
129 17 0 
130 17 0 
131 17 0 
132 17 0 
133 17 0 
134 17 0 
135 17 0 
136 18 0 
137 18 0 
138 18 0 
139 18 0 
140 18 0 
141 18 0 
142 18 0 
143 18 0 
144 19 0 
145 19 0 
146 19 0 
147 20 0 
148 20 0 
149 20 0 
150 20 0 
151 20 0 
152 20 0 
153 20 0 
154 20 0 
155 20 0 
156 20 0 
157 20 0 
158 20 0 
159 20 0 
160 20 0 
161 20 0 
162 20 0 
163 20 0 
164 20 0 
165 20 0 
166 20 0 
167 20 0 
168 21 0 
169 22 0 
170 23 0 
171 23 0 
172 23 0 
173 23 0 
174 23 0 
175 23 0 
176 23 0 
177 23 0 
178 25 0 
179 25 0 
180 25 0 
181 25 0 
182 25 0 
183 25 0 
184 25 0 
185 25 0 
186 25 0 
187 25 0 
188 25 0 
189 25 0 
190 25 0 
191 25 0 
192 25 0 
193 25 0 
194 25 0 
195 25 0 
196 25 0 
197 25 0 
198 25 0 
199 25 0 
200 25 0 
201 25 0 
202 25 0 
203 25 0 
204 25 0 
205 25 0 
206 25 0 
207 25 0 
208 25 0 
209 25 0 
210 25 0 
211 25 0 
212 26 0 
213 26 0 
214 26 0 
215 26 0 
216 26 0 
217 26 0 
218 26 0 
219 26 0 
220 26 0 
221 26 0 
222 26 0 
223 26 0 
224 26 0 
225 26 0 
226 26 0 
227 26 0 
228 26 0 
229 26 0 
230 26 0 
231 26 0 
232 26 0 
233 26 0 
234 26 0 
235 26 0 
236 26 0 
237 26 0 
238 27 0 
239 27 0 
240 27 0 
241 27 0 
242 27 0 
243 27 0 
244 27 0 
245 27 0 
246 27 0 
247 27 0 
248 27 0 
249 27 0 
250 28 0 
251 29 0 
252 29 0 
253 30 0 
254 30 0 
255 30 0 
256 31 0 
257 31 0 
258 31 0 
259 31 0 
260 31 0 
261 31 0 
262 31 0 
263 31 0 
264 31 0 
265 31 0 
266 31 0 
267 31 0 
268 31 0 
269 31 0 
270 31 0 
271 31 0 
272 31 0 
273 31 0 
274 31 0 
275 31 0 
276 31 0 
277 31 0 
278 31 0 
279 31 0 
280 31 0 
281 31 0 
282 31 0 
283 31 0 
284 31 0 
285 31 0 
286 31 0 
287 31 0 
288 31 0 
289 31 0 
290 31 0 
291 31 0 
292 31 0 
293 31 1 
294 31 2 
295 31 2 
296 31 3 
297 31 3 
298 31 3 
299 31 3 
300 31 4 
301 31 5 
302 31 5 
303 31 5 
304 31 5 
305 31 5 
306 31 6 
307 31 8 
308 31 8 
309 31 8 
310 31 8 
311 31 8 
312 31 8 
313 31 8 
314 31 9 
315 31 9 
316 31 10 
317 31 10 
318 31 11 
319 31 11 
320 31 11 
321 31 11 
322 31 12 
323 31 12 
324 31 13 
325 31 13 
326 31 13 
327 31 14 
328 31 14 
329 31 15 
330 31 16 
331 31 16 
332 31 16 
333 31 16 
334 31 16 
335 31 16 
336 31 16 
337 31 16 
338 31 16 
339 31 16 
340 31 16 
341 31 16 
342 31 16 
343 31 16 
344 31 16 
345 31 16 
346 31 16 
347 31 16 
348 31 16 
349 31 16 
350 31 16 
351 31 16 
352 31 16 
353 31 16 
354 31 16 
355 31 16 
356 31 16 
357 31 16 
358 31 16 
359 31 16 
360 31 16 
361 31 16 
362 31 16 
363 31 16 
364 31 16 
365 31 16 
366 31 16 
367 31 16 
368 31 16 
369 31 16 
370 31 16 
371 31 16 
372 31 16 
373 31 16 
374 31 16 
375 31 16 
376 31 16 
377 31 16 
378 31 16 
379 31 16 
380 31 16 
381 31 18 
382 31 18 
383 31 18 
384 31 18 
385 31 18 
386 31 18 
387 31 19 
388 31 21 
389 31 21 
390 31 21 
391 31 21 
392 31 21 
393 31 22 
394 31 22 
395 31 22 
396 31 22 
397 31 22 
398 31 22 
399 31 22 
400 31 22 
401 31 22 
402 31 22 
403 32 22 
404 32 22 
405 32 22 
406 32 22 
407 32 22 
408 32 22 
409 32 22 
410 32 22 
411 33 22 
412 33 22 
413 33 22 
414 33 22 
415 33 22 
416 33 22 
417 33 22 
418 33 22 
419 33 22 
420 34 22 
421 34 22 
422 34 22 
423 34 22 
424 34 22 
425 34 22 
426 34 22 
427 34 22 
428 34 22 
429 34 22 
430 34 22 
431 34 22 
432 34 22 
433 34 22 
434 34 22 
435 34 22 
436 34 22 
437 34 22 
438 34 22 
439 34 22 
440 34 22 
441 34 22 
442 34 22 
443 34 22 
444 34 22 
445 34 22 
446 34 22 
447 34 22 
448 34 22 
449 34 22 
450 34 22 
451 34 22 
452 34 22 
453 34 22 
454 34 22 
455 34 22 
456 34 22 
457 34 22 
458 34 22 
459 34 22 
460 34 22 
461 34 22 
462 35 22 
463 35 22 
464 35 22 
465 35 22 
466 35 22 
467 35 22 
468 35 22 
469 35 22 
470 36 22 
471 37 22 
472 37 22 
473 37 22 
474 37 22 
475 37 22 
476 37 22 
477 37 22 
478 37 22 
479 37 22 
480 37 22 
481 37 22 
482 37 22 
483 37 22 
484 37 22 
485 37 22 
486 37 22 
487 37 22 
488 37 22 
489 37 22 
