# step Etot Epot T p 
0 -5165.7587 -7075.7518 296.4689 14.41 
50000 -5169.1879 -7136.8297 305.4172 39.343 
100000 -4986.4574 -6972.0308 308.2005 28.0303 
150000 -5078.0269 -7057.248 307.2145 10.4784 
200000 -5128.8234 -7060.9254 299.9007 -10.7042 
250000 -5184.6471 -7130.3794 302.0164 17.0528 
300000 -5102.7635 -7100.0557 310.0195 43.2736 
350000 -5207.7036 -7146.676 300.9671 11.9379 
400000 -5218.9001 -7105.1968 292.7908 4.9951 
450000 -5048.771 -7022.6105 306.3792 -47.2632 
500000 -5049.4558 -7015.4411 305.16 -30.1011 
550000 -5268.3071 -7123.1766 287.9126 11.3532 
600000 -5105.8347 -7019.8179 297.0883 -31.9193 
650000 -5038.4903 -7020.9497 307.7171 0.5627 
700000 -5244.3794 -7183.8087 301.038 26.6299 
750000 -5099.2177 -7070.3554 305.9598 -15.4127 
800000 -5174.4409 -7044.5366 290.2761 -32.6777 
850000 -5164.2181 -7118.2832 303.3098 3.602 
900000 -5173.9036 -7110.289 300.5655 9.8299 
950000 -5202.1561 -7114.5714 296.8449 -24.5306 
1000000 -5185.3416 -7150.0728 304.9654 24.4878 
1050000 -5211.5438 -7172.4339 304.3691 2.6828 
1100000 -5091.1832 -7043.0101 302.9623 -11.0695 
1150000 -5065.0565 -7026.5572 304.4639 27.5761 
1200000 -5080.5896 -7047.7376 305.3405 30.6467 
1250000 -5246.0948 -7134.6678 293.1441 -10.2687 
1300000 -5160.4034 -7119.1242 304.0324 27.9478 
1350000 -5294.7861 -7114.5261 282.4598 -5.1808 
1400000 -5236.0206 -7134.5718 294.6929 -10.9402 
1450000 -5225.1282 -7117.586 293.7471 -35.982 
1500000 -5235.0429 -7144.4767 296.3821 30.696 
1550000 -5261.3039 -7167.5833 295.8925 39.6725 
1600000 -5200.7222 -7166.14 305.0719 -16.5142 
1650000 -5212.8431 -7099.7685 292.8883 -6.7361 
1700000 -5222.0819 -7187.3085 305.0423 -28.5241 
1750000 -5295.7886 -7229.3541 300.1278 1.2586 
1800000 -5321.8626 -7197.9871 291.2118 -9.5684 
1850000 -5157.1037 -7084.8465 299.224 3.9277 
1900000 -5179.3209 -7140.4936 304.413 40.2275 
1950000 -5185.9197 -7114.6031 299.37 20.1807 
2000000 -5203.6511 -7164.8396 304.4155 19.4126 
2050000 -5171.7432 -7079.1896 296.0736 5.2656 
2100000 -5242.1693 -7140.8217 294.7086 13.9447 
2150000 -5185.5573 -7078.4564 293.8156 1.5101 
2200000 -5124.7252 -7100.0236 306.6056 16.6285 
2250000 -5089.8178 -7081.3848 309.1308 42.6334 
2300000 -5196.4529 -7108.6865 296.8167 -5.4156 
2350000 -5081.2583 -7065.1195 307.9347 15.698 
2400000 -5066.6233 -7024.2122 303.8567 -40.9005 
2450000 -5141.0471 -7141.2878 310.4771 -4.0116 
2500000 -5206.9316 -7110.9052 295.5346 -23.6396 
2550000 -5114.4613 -7084.6038 305.8053 -6.111 
