ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0       231.2551       710.9347       726.9012        37.3117          -9023.4072       241.2527         0.0000         0.0000      1909.9931          -5165.7587       296.4689     -7075.7518     -5152.4393       296.4689             14.4100        14.8916   1000000.0000        14.4100        14.8916
ENERGY:   50000       227.1868       681.8166       706.2893        41.1978          -9092.2482       298.9280         0.0000         0.0000      1967.6418          -5169.1879       305.4172     -7136.8297     -5156.6600       300.1092             39.3430        40.5736   1000000.0000        -0.0260        -0.0267
ENERGY:  100000       236.6776       695.3791       721.4264        40.2283          -8939.8243       274.0821         0.0000         0.0000      1985.5733          -4986.4574       308.2005     -6972.0308     -4975.5030       300.4308             28.0303        28.9988   1000000.0000         0.1237         0.1232
ENERGY:  150000       245.7582       689.7960       719.1689        34.9741          -9028.5958       281.6507         0.0000         0.0000      1979.2211          -5078.0269       307.2145     -7057.2480     -5065.4161       299.4726             10.4784        11.3429   1000000.0000         0.0451         0.0442
ENERGY:  200000       234.6893       665.7621       697.7021        46.1438          -8949.2287       244.0060         0.0000         0.0000      1932.1020          -5128.8234       299.9007     -7060.9254     -5113.3563       297.9522            -10.7042       -10.2635   1000000.0000        -0.0452        -0.0456
ENERGY:  250000       232.1550       705.9161       706.7791        44.4556          -9079.4891       259.8039         0.0000         0.0000      1945.7323          -5184.6471       302.0164     -7130.3794     -5172.1554       298.3424             17.0528        17.1706   1000000.0000         0.2722         0.2718
ENERGY:  300000       246.5583       700.7328       717.6494        44.6409          -9146.0174       336.3804         0.0000         0.0000      1997.2922          -5102.7635       310.0195     -7100.0557     -5088.6356       299.1879             43.2736        43.4677   1000000.0000         0.0318         0.0326
ENERGY:  350000       230.3813       669.3136       710.5615        39.5228          -9092.4232       295.9680         0.0000         0.0000      1938.9724          -5207.7036       300.9671     -7146.6760     -5193.4438       299.5178             11.9379        12.2702   1000000.0000         0.2295         0.2304
ENERGY:  400000       228.1491       654.6718       714.2738        43.9154          -9032.3298       286.1229         0.0000         0.0000      1886.2967          -5218.9001       292.7908     -7105.1968     -5207.3092       298.6499              4.9951         5.3154   1000000.0000        -0.0368        -0.0369
ENERGY:  450000       237.0716       717.5626       704.7244        45.8873          -8933.2881       205.4318         0.0000         0.0000      1973.8395          -5048.7710       306.3792     -7022.6105     -5033.8399       300.1352            -47.2632       -46.1655   1000000.0000        -0.1644        -0.1638
ENERGY:  500000       236.4224       720.6505       714.4652        41.3741          -8921.8327       193.4794         0.0000         0.0000      1965.9854          -5049.4558       305.1600     -7015.4411     -5039.2808       299.1657            -30.1011       -29.4619   1000000.0000        -0.1529        -0.1535
ENERGY:  550000       245.2311       677.5999       732.1037        46.5462          -9185.7611       361.1035         0.0000         0.0000      1854.8694          -5268.3071       287.9126     -7123.1766     -5253.7071       298.9249             11.3532        11.9104   1000000.0000         0.3442         0.3422
ENERGY:  600000       233.4145       695.5252       725.5790        43.1554          -8976.9815       259.4895         0.0000         0.0000      1913.9831          -5105.8347       297.0883     -7019.8179     -5090.7712       299.8470            -31.9193       -31.3217   1000000.0000         0.2955         0.2939
ENERGY:  650000       251.0888       706.6400       727.4755        36.8967          -8960.1655       217.1148         0.0000         0.0000      1982.4594          -5038.4903       307.7171     -7020.9497     -5024.4777       299.7987              0.5627         1.7245   1000000.0000         0.2897         0.2898
ENERGY:  700000       230.4006       689.7099       705.4592        36.8629          -9167.6545       321.4132         0.0000         0.0000      1939.4294          -5244.3794       301.0380     -7183.8087     -5230.7123       298.4716             26.6299        27.5321   1000000.0000         0.1107         0.1107
ENERGY:  750000       239.5103       704.0338       715.0065        37.8628          -9037.0227       270.2539         0.0000         0.0000      1971.1377          -5099.2177       305.9598     -7070.3554     -5084.3798       298.7350            -15.4127       -14.5883   1000000.0000         0.0631         0.0647
ENERGY:  800000       244.9746       729.1791       701.6898        55.1584          -9043.8443       268.3059         0.0000         0.0000      1870.0958          -5174.4409       290.2761     -7044.5366     -5162.2891       300.1286            -32.6777       -32.5901   1000000.0000         0.2606         0.2613
ENERGY:  850000       230.2594       692.8159       689.0707        48.4001          -9039.3802       260.5508         0.0000         0.0000      1954.0651          -5164.2181       303.3098     -7118.2832     -5151.3377       300.0204              3.6020         2.7982   1000000.0000        -0.1834        -0.1833
ENERGY:  900000       233.5304       681.4518       721.6727        43.3598          -9020.9026       230.5989         0.0000         0.0000      1936.3854          -5173.9036       300.5655     -7110.2890     -5162.3225       298.2875              9.8299         9.9180   1000000.0000        -0.2159        -0.2169
ENERGY:  950000       256.3283       730.9602       701.6945        36.5540          -9099.7423       259.6340         0.0000         0.0000      1912.4152          -5202.1561       296.8449     -7114.5714     -5187.0771       299.3847            -24.5306       -24.5224   1000000.0000         0.0713         0.0698
ENERGY: 1000000       240.7448       708.1404       714.8223        42.9873          -9127.4946       270.7270         0.0000         0.0000      1964.7312          -5185.3416       304.9654     -7150.0728     -5171.6679       299.2994             24.4878        24.1096   1000000.0000         0.2544         0.2553
ENERGY: 1050000       229.5609       693.2555       716.4212        39.9987          -9119.9046       268.2344         0.0000         0.0000      1960.8901          -5211.5438       304.3691     -7172.4339     -5197.8051       299.3703              2.6828         3.3050   1000000.0000         0.0007         0.0004
ENERGY: 1100000       252.5563       696.7199       725.9717        45.9153          -9019.2292       255.0559         0.0000         0.0000      1951.8268          -5091.1832       302.9623     -7043.0101     -5078.9405       299.3647            -11.0695       -10.5193   1000000.0000        -0.0089        -0.0084
ENERGY: 1150000       224.5010       713.3704       707.2698        37.6530          -8968.5948       259.2434         0.0000         0.0000      1961.5007          -5065.0565       304.4639     -7026.5572     -5051.5081       299.5701             27.5761        27.1287   1000000.0000         0.2870         0.2866
ENERGY: 1200000       232.5588       731.1256       716.3352        43.7072          -9049.3713       277.9068         0.0000         0.0000      1967.1480          -5080.5896       305.3405     -7047.7376     -5066.8486       300.1341             30.6467        30.7154   1000000.0000         0.0054         0.0055
ENERGY: 1250000       234.7895       720.9782       703.6930        43.5450          -9115.4081       277.7347         0.0000         0.0000      1888.5729          -5246.0948       293.1441     -7134.6678     -5234.9630       299.3523            -10.2687       -10.0888   1000000.0000         0.2188         0.2189
ENERGY: 1300000       227.3742       708.3986       709.2213        45.9926          -9104.4580       294.3472         0.0000         0.0000      1958.7208          -5160.4034       304.0324     -7119.1242     -5148.5893       298.8328             27.9478        28.3289   1000000.0000        -0.3317        -0.3320
ENERGY: 1350000       239.8960       712.5762       698.8534        36.8241          -9064.7587       262.0830         0.0000         0.0000      1819.7399          -5294.7861       282.4598     -7114.5261     -5282.8311       299.0446             -5.1808        -5.7042   1000000.0000         0.3265         0.3278
ENERGY: 1400000       239.5554       701.8408       699.5766        45.8500          -9068.0456       246.6510         0.0000         0.0000      1898.5511          -5236.0206       294.6929     -7134.5718     -5223.0628       298.9797            -10.9402       -10.7928   1000000.0000         0.5783         0.5800
ENERGY: 1450000       246.3025       702.5350       707.9453        47.9572          -9071.5222       249.1962         0.0000         0.0000      1892.4578          -5225.1282       293.7471     -7117.5860     -5213.7335       299.2819            -35.9820       -35.2973   1000000.0000         0.2378         0.2372
ENERGY: 1500000       212.3800       668.7868       707.1234        50.7093          -9081.9024       298.4262         0.0000         0.0000      1909.4339          -5235.0429       296.3821     -7144.4767     -5220.7176       298.5113             30.6960        31.9376   1000000.0000         0.1498         0.1483
